"courseid";"userid";"finalgrade";"rawgrademax";"rawgrademin";"rawgrade";"timemodified"
"759";"2bb8907c59bb65b16ded05180e822f90d2f3bee0be3942e9e511f3bd";\N;"100,00000";"0,00000";\N;\N
"759";"22c57cd5f58dbdd33c35c4dc7b3500ed1630d49b602ac28490963ed9";\N;"100,00000";"0,00000";\N;\N
"787";"f8c353a83b354b45da7d7086bb73fcfcbf753e70c504070607c43b1c";"6,28214";"10,00000";"0,00000";\N;"1641898342"
"787";"b8816021b8c9b39470d0fa4ca3e743af56d6a004bc3e5af55e344904";"7,08500";"10,00000";"0,00000";\N;"1641898342"
"787";"fcca649579fb3e763624ddb958bd84ed43e054b626126d1e6a57671d";"6,56786";"10,00000";"0,00000";\N;"1641898342"
"787";"f72ca9b0f71bdae93b911ab85542cb3cfa946f8c9659244e26bf24ca";"5,82714";"10,00000";"0,00000";\N;"1641897925"
"787";"3d791defa8634f8f8378a4572a4c73e14fd6dd314c3bed75d810d93b";"6,11000";"10,00000";"0,00000";\N;"1641897925"
"787";"f2ede6bf4838717b42ec344d9bd6e549bbf63c3fd47eda732d89aacf";"6,81786";"10,00000";"0,00000";\N;"1641898342"
"787";"8e58c3c7fbfef6fa8d36396dfbe1eb2c943d4b8c0bb63878940daef0";"7,15643";"10,00000";"0,00000";\N;"1641898342"
"787";"1f7a4124eab4bf3dd20a7d7998a10e5a6e40fb8a01ad7d94e15a2d9e";"6,46714";"10,00000";"0,00000";\N;"1641898342"
"787";"1b49a600bff1a738e764cb9befef8dab0528f557ce6865875b01b635";"7,25000";"10,00000";"0,00000";\N;"1641898342"
"787";"8fb47a6df74bee4bf7e19cbd8a79a2ab1d02a236edfe9bd351aa3163";\N;"100,00000";"0,00000";\N;\N
"787";"276eac88894382c98fd09670f4c3ee4f53edf15fa67b60ad92b18662";"7,50000";"10,00000";"0,00000";\N;"1641897926"
"787";"80622ca04d24543522e259b82081f54396629d959c5aa6f310e5af7e";"4,98071";"10,00000";"0,00000";\N;"1641898342"
"787";"5a898a6151c140ef308e3aa8b88cf09a3b8f484da7c81af1ad07b1c5";\N;"100,00000";"0,00000";\N;\N
"2767";"972ec0541aeea29367ac6852896a13f6f87bf2495ae79776f68f14cb";"85,04667";"100,00000";"0,00000";\N;"1637247666"
"2767";"d4be27a47d3db8bad9114ebf41b6a833a316ecb44c8c6168966a880b";"92,22667";"100,00000";"0,00000";\N;"1637247196"
"2767";"1c81d8f74971c8c50826a53dd58cd928bd57b6a5debb6a4fd0a2646c";"81,95333";"100,00000";"0,00000";\N;"1637247666"
"2767";"89c1acb2102fabea5dc347e9e40d1d75e65964b5f920a199d73f38d4";"83,06000";"100,00000";"0,00000";\N;"1637247254"
"2767";"8ab451db1eb5c9050358018cea3d2c4540f4a32d694d0642b6ec38a4";"83,15333";"100,00000";"0,00000";\N;"1637247666"
"2767";"d7daec7f1f5606f6504dad0f95d98eb9fc1e56b75566bd2b152ed461";"93,56000";"100,00000";"0,00000";\N;"1637247196"
"2767";"53710968cb9e149dab8c7d0a674e3b5e7fb5baa23c8bc312d7eb5973";"82,51333";"100,00000";"0,00000";\N;"1637247128"
"2767";"cc9120ef75c89bb0e4d37c78f517ce1b0f85b5562d41e227a24993a4";"83,28667";"100,00000";"0,00000";\N;"1637247666"
"2767";"2fdc4eb73879e90b541863718c7020d8e4e9b857324bf7e22249b815";"83,57333";"100,00000";"0,00000";\N;"1637247666"
"2767";"e2e90dddb094a2b65acf05199e777ffe01a0439313e80f3ad316a411";"89,84667";"100,00000";"0,00000";\N;"1637247666"
"2767";"c0abf0814487e0af0f43ef2e43a9f849febf6b4538837a083da10c67";"86,72667";"100,00000";"0,00000";\N;"1637247666"
"2767";"3dc509ad63f2bf9436ffcaad05e85ed830f99feeadbb6eeb722cd573";"73,94000";"100,00000";"0,00000";\N;"1637247666"
"2767";"edc264699cc3d68658e8d05e2fc9f4ca1a9334e1442eb3f42a96f585";"92,26000";"100,00000";"0,00000";\N;"1637247067"
"2767";"982517a2566ab594d0071ef4bb10cc68480f8453bef63b3eca6f3441";"82,51333";"100,00000";"0,00000";\N;"1637247129"
"2767";"074ee71fdeb78883f2b7c7290ac84ddb2713005238a8ee04038f0672";"92,82000";"100,00000";"0,00000";\N;"1637247666"
"2767";"3e58030406bffccf4184267c72767d088334b25c11c236d6676dbb80";\N;"100,00000";"0,00000";\N;\N
"2767";"32ccddde015bff33b4adc3abb0bc19450ba3a1d9e7487e4494fd5304";"81,39333";"100,00000";"0,00000";\N;"1637247666"
"2767";"a5c148db35283ff50821810f87e52f47af784892e96aeecb9bc314fc";"77,94000";"100,00000";"0,00000";\N;"1637247666"
"2767";"d374a10c7ea28a2996d451d6673276fd5a15c14aadbe28ed021b4b82";"91,66667";"100,00000";"0,00000";\N;"1637247666"
"2767";"de8bdfec54b61a84a4a82867d2ae5848704a9769318a885e230a0888";"83,50000";"100,00000";"0,00000";\N;"1637246970"
